wkb_geometry;codice;strada;desvia;fumetto;vifraz;sensouni;tipo_arco;tipo_cod;tipo_stra
"LINESTRING (664581.81 5101530.0,664579.69 5101528.5,664577.88 5101526.5,664576.38 5101524.5,664575.25 5101522.0,664574.46 5101519.4,664574.23 5101516.56,664574.35 5101514.63,664575.08 5101511.9,664576.28 5101509.4,664577.64 5101507.53,664578.66 5101506.33)";900;900;VIA A. DEGASPERI;VIA A. DEGASPERI;TRENTO;0;;0;
"LINESTRING (664552.81 5104142.0,664561.56 5104103.5,664565.1 5104082.89,664567.28 5104062.8)";740;740;VIA DELLA CERVARA;VIA DELLA CERVARA;TRENTO;0;;0;
"LINESTRING (664411.69 5105140.0,664403.06 5105150.0)";6260;6260;VIA MISSIONI AFRICANE;VIA MISSIONI AFRICANE;TRENTO;0;;0;
"LINESTRING (659229.87 5103833.07,659234.62 5103832.28,659241.37 5103832.24,659249.21 5103833.41,659254.44 5103834.5,659262.44 5103837.0,659268.66 5103839.08,659272.68 5103841.3,659276.46 5103843.86,659281.75 5103848.5,659285.62 5103853.0)";8037;8037;VIA DEL PRAOL;VIA DEL PRAOL;TRENTO;0;PRINCIPALE;0;
"LINESTRING (666490.25 5105400.0,666490.48 5105406.14)";6412;6412;PIAZZA NATALE TOMMASI;PIAZZA NATALE TOMMASI;TRENTO;0;PRINCIPALE;0;
"LINESTRING (662919.75 5099124.0,662914.81 5099113.5,662910.89 5099101.05,662908.25 5099084.5,662905.51 5099071.25,662901.69 5099056.67,662897.39 5099037.02,662891.67 5099010.46,662889.31 5098997.5,662886.23 5098990.02,662867.4 5098959.2,662856.5 5098940.5,662844.12 5098924.0,662839.0 5098917.5,662826.62 5098910.0,662809.87 5098900.88,662794.5 5098893.0,662772.62 5098884.5,662760.15 5098878.86,662752.94 5098875.0,662742.75 5098869.0,662718.69 5098852.5,662708.5 5098845.0,662694.62 5098835.0,662680.75 5098824.5,662670.56 5098818.0,662657.44 5098811.5,662649.44 5098807.0,662634.12 5098801.5,662629.08 5098799.55,662619.73 5098797.88,662616.47 5098796.74,662614.32 5098794.13,662614.12 5098790.69,662616.88 5098782.32,662629.77 5098755.15,662639.91 5098736.73,662644.31 5098726.5)";8770;8770;VIA MARGONE;VIA MARGONE;TRENTO;0;;0;
"LINESTRING (663176.19 5098016.0,663162.38 5098019.7,663148.56 5098023.67,663118.55 5098032.02)";8911;8911;VIA DEI POMARI;VIA DEI POMARI;TRENTO;0;;0;
"LINESTRING (665018.25 5102186.5,665015.83 5102208.36,665011.83 5102238.4,665008.5 5102260.5,665005.56 5102278.0)";770;770;VIA E. CHINI;VIA E. CHINI;TRENTO;0;;0;
"LINESTRING (664504.94 5102484.5,664503.69 5102482.5,664492.62 5102466.0)";160;160;VIA AOSTA;VIA AOSTA;TRENTO;0;;0;
"LINESTRING (664504.94 5102484.5,664540.38 5102462.5)";160;160;VIA AOSTA;VIA AOSTA;TRENTO;0;;0;
